wv1500,Error,soc,cfvo,ocd,ocs,nitrogen,silt,cec,Longitude,sand,phh2o,Latitude,clay,bdod,wv0033,wv0010
214,,97,186,168,28,99,334,433,78.4,259,71,20.6,407,160,350,337
210,,158,174,175,30,145,304,396,78.5,263,72,20.6,433,156,353,352
207,,115,139,192,28,125,388,385,78.6,205,73,20.6,407,157,358,368
204,,119,145,182,29,150,381,413,78.7,211,72,20.6,408,158,357,362
200,,142,159,200,29,146,392,369,78.8,200,72,20.6,408,160,361,365
203,,125,148,186,31,158,399,393,78.9,209,71,20.6,392,163,358,384
211,,156,152,199,31,182,358,424,79.0,226,72,20.6,416,160,366,365
204,,139,169,187,30,159,351,433,79.1,227,71,20.6,422,159,352,355
210,,160,169,185,30,150,357,435,79.2,206,71,20.6,437,159,369,360
214,,128,176,198,31,142,360,457,79.3,204,72,20.6,436,160,369,365
207,,137,139,171,30,142,364,449,79.4,239,71,20.6,397,161,354,365
212,,136,114,192,30,148,346,433,79.5,241,72,20.6,413,161,368,369
199,,195,278,204,37,148,329,427,79.6,235,70,20.6,436,160,374,408
201,,153,148,221,33,161,351,403,79.7,248,72,20.6,401,158,362,361
213,,135,91,206,36,146,387,375,79.8,219,73,20.6,394,161,361,375
202,,157,89,226,37,153,383,365,79.9,233,74,20.6,384,158,252,368
190,,146,82,239,47,171,386,318,80.0,238,73,20.6,376,156,356,365
189,,166,209,220,46,156,354,318,80.1,265,65,20.6,381,156,356,365
171,,131,137,204,36,151,390,270,80.2,215,72,20.6,394,157,355,363
172,,162,165,235,52,178,355,284,80.3,266,70,20.6,379,156,351,397
167,,386,216,284,48,268,306,333,80.4,276,60,20.6,418,139,249,378
164,,325,228,232,42,169,356,263,80.5,290,60,20.6,355,138,252,368
164,,178,136,216,37,163,307,268,80.6,267,62,20.6,427,152,352,350
155,,248,193,216,43,204,292,262,80.7,289,61,20.6,419,154,349,350
159,,124,139,199,37,158,306,293,80.8,317,68,20.6,376,157,355,401
163,,148,195,218,38,167,308,303,80.9,332,68,20.6,360,158,351,386
158,,211,142,227,39,182,306,208,81.0,313,61,20.6,381,153,358,398
171,,159,184,228,37,186,314,255,81.1,328,67,20.6,358,154,334,397
154,,245,212,258,40,177,275,269,81.2,353,62,20.6,372,148,359,391
149,,196,173,229,40,166,272,222,81.3,397,59,20.6,331,147,270,384
