Latitude,Longitude,bdod,cec,cfvo,clay,nitrogen,ocd,ocs,phh2o,sand,silt,soc,wv0010,wv0033,wv1500
8,68,,,,,,,,,,,,,,
8,68.1,,,,,,,,,,,,,,
8,68.2,,,,,,,,,,,,,,
8.1,68,,,,,,,,,,,,,,
8.1,68.1,,,,,,,,,,,,,,
8.1,68.2,,,,,,,,,,,,,,
8.2,68,,,,,,,,,,,,,,
8.2,68.1,,,,,,,,,,,,,,
8.2,68.2,,,,,,,,,,,,,,
